repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,if_per_workflow,needs_per_workflow,uses_per_workflow,external_action_ratio,local_action_ratio,unique_external_actions_count,complexity_score_mccabe_like,glue_code_score,maintainability_risk_score
cpacker/MemGPT,cpacker__MemGPT,298,298,1.0,345,1.1577,9,"[""issue_comment"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",5,"[""${{ fromJSON(inputs.runner) }}"", ""medium"", ""self-hosted"", ""small"", ""ubuntu-latest""]",True,True,True,True,True,37,"[""./.github/workflows/reusable-test-workflow.yml"", ""JRubics/poetry-publish@v1.17"", ""actions/cache/restore@v4"", ""actions/cache/save@v4"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/configure-pages@v3"", ""actions/create-github-app-token@v1""]",0.8859,0.1577,2.2047,0.9604,0.0396,36,27.89,46.65,35.07
assafelovic/gpt-researcher,assafelovic__gpt-researcher,8,8,1.0,18,2.25,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.runner_label }}"", ""ubuntu-latest""]",True,True,False,False,True,17,"[""\""actions/checkout@v4\"""", ""\""docker/build-push-action@v6\"""", ""\""docker/login-action@v3\"""", ""\""docker/metadata-action@v5\"""", ""\""docker/setup-buildx-action@v3\"""", ""\""docker/setup-qemu-action@v3\"""", ""actions/checkout@master"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/checkout@v5""]",11.25,0.0,12.0,1.0,0.0,16,42.08,43.04,34.14
BloopAI/bloop,BloopAI__bloop,138,138,1.0,279,2.0217,6,"[""issue_comment"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",6,"[""${{ matrix.name }}"", ""${{ matrix.os }}"", ""benchmark"", ""nixos"", ""self-hosted"", ""ubuntu-latest""]",True,True,True,False,True,30,"[""BloopAI/reusable-workflows/.github/workflows/validate-helm-chart.yml@main"", ""BloopAI/workflows/.github/workflows/build-container.yml@main"", ""actions-rs/toolchain@v1"", ""actions/cache@v2"", ""actions/cache@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/github-script@v6"", ""actions/setup-node@v3""]",1.5652,0.2681,4.529,1.0,0.0,30,31.96,41.77,31.86
camel-ai/camel,camel-ai__camel,239,239,1.0,413,1.728,7,"[""branch_protection_rule"", ""merge_group"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-latest""]",True,True,True,False,True,56,"[""./.github/actions/camel_install"", ""JRubics/poetry-publish@v1.17"", ""JRubics/poetry-publish@v2.0"", ""abatilo/actions-poetry@v2"", ""actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683"", ""actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5"", ""actions/checkout@8e8c483db84b4bee98b60c0593521ed34d9990e8"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/create-release@v1""]",0.3682,0.0502,2.7615,0.6197,0.3803,55,24.92,44.1,31.61
langroid/langroid,langroid__langroid,190,190,1.0,307,1.6158,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,True,28,"[""EnricoMi/publish-unit-test-result-action@v2"", ""Gr1N/setup-poetry@v8"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/codecov-action@v2"", ""actions/github-script@v6"", ""actions/setup-python@v2"", ""actions/setup-python@v4""]",1.8842,0.0368,5.5474,1.0,0.0,28,21.09,41.89,28.09
eidolon-ai/eidolon,eidolon-ai__eidolon,200,200,1.0,440,2.2,7,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",1,"[""ubuntu-latest""]",True,True,True,False,False,26,"[""KengoTODA/actions-setup-docker-compose@v1"", ""actions-cool/check-user-permission@v2"", ""actions/cache@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/deploy-pages@v1"", ""actions/deploy-pages@v4"", ""actions/posthog-github-action"", ""actions/posthog-github-action@v1"", ""actions/setup-go@v5""]",0.805,0.23,1.99,1.0,0.0,26,28.85,28.86,27.23
Canner/WrenAI,Canner__WrenAI,71,71,1.0,103,1.4507,4,"[""issue_comment"", ""pull_request"", ""push"", ""workflow_dispatch""]",4,"[""${{ matrix.arch.runner }}"", ""macos-latest"", ""ubuntu-22.04"", ""ubuntu-latest""]",True,True,False,False,True,27,"[""abatilo/actions-poetry@v2"", ""abatilo/actions-poetry@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/create-github-app-token@v1"", ""actions/download-artifact@v4"", ""actions/github-script@v6"", ""actions/setup-go@v4"", ""actions/setup-go@v5"", ""actions/setup-node@v2""]",0.4366,0.4366,3.9577,1.0,0.0,27,23.53,40.51,26.22
pezzolabs/pezzo,pezzolabs__pezzo,40,40,1.0,64,1.6,5,"[""jobs"", ""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",2,"[""ubuntu-20.04"", ""ubuntu-22.04""]",True,True,False,False,True,10,"[""PostHog/check-package-version@v2"", ""actions/cache@v3"", ""actions/download-artifact@v2"", ""actions/upload-artifact@v2"", ""docker/build-push-action@v4"", ""docker/login-action@v2"", ""docker/metadata-action@v4"", ""docker/setup-buildx-action@v2"", ""docker/setup-qemu-action@v2"", ""octokit/request-action@v2.x""]",1.775,0.6,6.175,1.0,0.0,10,27.51,37.14,26.19
satellitecomponent/Neurite,satellitecomponent__Neurite,36,36,1.0,92,2.5556,2,"[""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,False,11,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/download-artifact@v3.0.2"", ""actions/download-artifact@v4"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v3.1.3"", ""actions/upload-artifact@v4""]",0.9167,1.5556,3.0556,1.0,0.0,11,33.78,25.28,24.78
Kav-K/GPTDiscord,Kav-K__GPTDiscord,35,35,1.0,66,1.8857,4,"[""pull_request"", ""push"", ""release"", ""schedule""]",3,"[""${{ matrix.os }}"", ""ubuntu-20.04"", ""ubuntu-latest""]",True,False,True,False,False,26,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/setup-python@v4"", ""appleboy/scp-action@master"", ""cytopia/docker-black@0.10"", ""docker/build-push-action@ac9327eae2b366085ac7f6a2d02df8aa8ead720a"", ""docker/build-push-action@v3"", ""docker/build-push-action@v4"", ""docker/build-push-action@v5"", ""docker/login-action@28218f9b04b4f3f62068d7b6ce6ca5b26e35336c""]",1.4,0.0,11.2571,1.0,0.0,26,24.41,35.26,24.03
FOLLGAD/Godmode-GPT,FOLLGAD__Godmode-GPT,59,59,1.0,76,1.2881,7,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",1,"[""ubuntu-latest""]",True,True,True,False,True,17,"[""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/cache@v3"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@v2"", ""actions/setup-python@v3"", ""actions/setup-python@v4"", ""actions/upload-artifact@v3"", ""codecov/codecov-action@v3""]",0.6949,0.0339,2.3559,1.0,0.0,17,22.0,36.52,23.89
imartinez/privateGPT,imartinez__privateGPT,21,21,1.0,30,1.4286,6,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,True,False,True,13,"[""actions/checkout@v4"", ""actions/github-script@v4"", ""actions/github-script@v7"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/upload-artifact@v3"", ""docker/build-push-action@v5"", ""docker/build-push-action@v6"", ""docker/login-action@v3"", ""docker/metadata-action@v5""]",0.5714,0.4286,2.8571,1.0,0.0,13,23.78,35.72,23.62
paul-gauthier/aider,paul-gauthier__aider,122,121,0.9918,127,1.041,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",3,"[""${{ matrix.os }}"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,False,True,18,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/configure-pages@v3"", ""actions/deploy-pages@v2"", ""actions/deploy-pages@v4"", ""actions/setup-python@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v4"", ""actions/upload-pages-artifact@v1"", ""actions/upload-pages-artifact@v3""]",0.1475,0.0492,3.0164,1.0,0.0,18,17.43,37.27,23.41
princeton-nlp/SWE-agent,princeton-nlp__SWE-agent,75,74,0.9867,74,0.9867,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,True,False,True,21,"[""actions/checkout@v2"", ""actions/checkout@v4"", ""actions/checkout@v5"", ""actions/checkout@v6"", ""actions/upload-artifact@v4"", ""actions/upload-artifact@v5"", ""actions/upload-artifact@v6"", ""actions/upload-artifact@v7"", ""codecov/codecov-action@v4.0.1"", ""codecov/codecov-action@v4.6.0""]",1.1733,0.0,2.0533,1.0,0.0,21,17.09,37.47,22.35
kreneskyp/ix,kreneskyp__ix,28,28,1.0,71,2.5357,4,"[""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,11,"[""./.github/actions/run-docker"", ""actions/cache@v2"", ""actions/cache@v3"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/upload-artifact@v2"", ""docker/build-push-action@v4"", ""docker/login-action@v2"", ""docker/setup-buildx-action@v2""]",1.3929,1.5357,6.8571,0.7917,0.2083,10,26.12,25.68,21.3
joaomdmoura/crewai,joaomdmoura__crewai,85,85,1.0,100,1.1765,6,"[""pull_request"", ""push"", ""release"", ""repository_dispatch"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-latest""]",True,True,True,False,False,22,"[""actions/cache/restore@v4"", ""actions/cache/save@v4"", ""actions/cache@v3"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v4"", ""actions/download-artifact@v4"", ""actions/setup-node@v4"", ""actions/setup-python@v4"", ""actions/setup-python@v5""]",0.5176,0.1765,2.3529,1.0,0.0,22,21.4,27.96,21.17
biobootloader/mentat,biobootloader__mentat,27,27,1.0,58,2.1481,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,True,False,False,6,"[""actions/checkout@v3"", ""actions/setup-node@v4"", ""actions/setup-python@v3"", ""actions/setup-python@v4"", ""dawidd6/action-homebrew-bump-formula@v3"", ""softprops/action-gh-release@v1""]",2.1481,0.0,2.0,1.0,0.0,6,26.54,23.11,20.57
trypromptly/LLMStack,trypromptly__LLMStack,27,27,1.0,27,1.0,2,"[""pull_request"", ""push""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""large-runner"", ""ubuntu-latest""]",True,False,False,False,False,15,"[""actions/checkout@v3"", ""actions/setup-node@v3"", ""actions/setup-python@v4"", ""docker/build-push-action@v4"", ""docker/login-action@v2.2.0"", ""docker/metadata-action@v4"", ""docker/setup-buildx-action@v2"", ""docker/setup-qemu-action@v2"", ""github/codeql-action/analyze@v2"", ""github/codeql-action/autobuild@v2""]",3.7037,0.0,8.8148,1.0,0.0,15,20.7,30.4,20.5
emrgnt-cmplxty/automata,emrgnt-cmplxty__automata,71,71,1.0,71,1.0,3,"[""pull_request"", ""push"", ""schedule""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,True,False,True,8,"[""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@master"", ""actions/setup-python@v2"", ""actions/setup-python@v3"", ""actions/upload-artifact@v2"", ""codecov/codecov-action@v3"", ""docker/login-action@v1""]",0.0,0.0,1.4366,1.0,0.0,8,14.6,33.3,19.68
FlowiseAI/Flowise,FlowiseAI__Flowise,56,56,1.0,66,1.1786,4,"[""pull_request"", ""pull_request_target"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.platform }}"", ""ubuntu-latest""]",True,True,False,False,False,24,"[""actions/checkout@v4"", ""actions/checkout@v4.1.1"", ""actions/checkout@v6"", ""actions/checkout@v6.0.2"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/setup-node@v6"", ""aws-actions/amazon-ecr-login@v1"", ""aws-actions/amazon-ecr-login@v2"", ""aws-actions/configure-aws-credentials@8df5847569e6427dd6c4fb1cf565c83acfa8afa7""]",0.875,0.0357,2.5357,1.0,0.0,24,18.69,28.66,19.59
AntonOsika/gpt-engineer,AntonOsika__gpt-engineer,28,28,1.0,32,1.1429,6,"[""issues"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-20.04"", ""ubuntu-latest""]",True,True,True,False,False,11,"[""actions/cache@v3"", ""actions/checkout@v3"", ""actions/download-artifact@v3"", ""actions/setup-python@v4"", ""actions/stale@v4"", ""actions/upload-artifact@v3"", ""codespell-project/actions-codespell@v2"", ""github/codeql-action/analyze@v2"", ""github/codeql-action/autobuild@v2"", ""github/codeql-action/init@v2""]",0.0,0.1429,1.0714,1.0,0.0,11,20.85,23.91,18.31
Pythagora-io/gpt-pilot,Pythagora-io__gpt-pilot,22,22,1.0,33,1.5,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,False,8,"[""actions/checkout@v4"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/setup-python@v2"", ""actions/setup-python@v4"", ""actions/setup-python@v5"", ""aws-actions/configure-aws-credentials@v3"", ""docker/login-action@v3""]",0.0,0.3636,3.9545,1.0,0.0,8,19.81,25.03,18.11
geekan/MetaGPT,geekan__MetaGPT,26,26,1.0,26,1.0,6,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",2,"[""ubuntu-22.04"", ""ubuntu-latest""]",True,True,True,False,False,6,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""actions/setup-python@v4"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""codecov/codecov-action@v3""]",1.4231,0.0,2.3077,1.0,0.0,6,20.88,23.32,18.08
Oneirocom/Magick,Oneirocom__Magick,15,15,1.0,15,1.0,4,"[""branch_protection_rule"", ""pull_request"", ""push"", ""schedule""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,True,False,False,23,"[""actions/checkout@8e5e7e5ab8b370d6c329ec480221332ada57f0ab"", ""actions/checkout@93ea575cb5d8a053eaa0ac8fa3b40d7e05a33cc8"", ""actions/checkout@ee0669bd1cc54295c223e0bb666b733df41de1c5"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/create-release@fca5fb59dbfa2749e2850463e8c5af9e3ee0e270"", ""actions/create-release@v1.0.1"", ""actions/setup-node@25316bbc1f10ac9d8798711f44914b1cf3c4e954"", ""actions/setup-node@64ed1c7eab4cce3362f8c340dee64e5eaeef8f7c"", ""actions/setup-node@v2.4.0""]",0.0,0.0,3.6667,1.0,0.0,23,16.62,29.16,17.97
Farama-Foundation/chatarena,Farama-Foundation__chatarena,11,11,1.0,15,1.3636,3,"[""pull_request"", ""push"", ""release""]",4,"[""${{ matrix.os }}"", ""macos-11"", ""ubuntu-latest"", ""windows-latest""]",True,False,False,False,False,6,"[""actions/download-artifact@v2"", ""actions/download-artifact@v3"", ""actions/setup-python@v4"", ""actions/upload-artifact@v2"", ""actions/upload-artifact@v3"", ""pypa/gh-action-pypi-publish@release/v1""]",0.3636,0.3636,2.0,1.0,0.0,6,21.18,23.11,17.83
myshell-ai/AIlice,myshell-ai__AIlice,6,6,1.0,6,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""${{ matrix.os }}""]",True,True,False,False,False,1,"[""actions/setup-python@v4""]",5.1667,0.0,1.0,1.0,0.0,1,23.01,20.98,17.8
irgolic/AutoPR,irgolic__AutoPR,35,35,1.0,41,1.1714,5,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,13,"[""./"", ""actions/cache@v2"", ""actions/checkout@v2"", ""actions/setup-python@v4"", ""docker/build-push-action@v4"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""docker://ghcr.io/irgolic/autopr:latest"", ""docker://irgolic/autopr:latest"", ""irgolic/AutoPR@main""]",0.7714,0.0,2.9429,0.8932,0.1068,12,18.73,24.57,17.74
jina-ai/dev-gpt,jina-ai__dev-gpt,18,18,1.0,29,1.6111,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,False,7,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""ad-m/github-push-action@v0.6.0"", ""docker/build-push-action@v2"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""dorny/paths-filter@v2""]",1.3889,0.0,2.6111,1.0,0.0,7,19.96,23.82,17.67
getcursor/cursor,getcursor__cursor,1,1,1.0,1,1.0,2,"[""pull_request"", ""push""]",1,"[""${{matrix.os}}""]",True,False,False,False,False,1,"[""actions/upload-artifact@v3""]",3.0,0.0,1.0,1.0,0.0,1,17.91,20.98,15.4
