repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,repo_description
langroid/langroid,langroid__langroid,190,190,1.0,307,1.6158,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,True,28,"[""EnricoMi/publish-unit-test-result-action@v2"", ""Gr1N/setup-poetry@v8"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/codecov-action@v2"", ""actions/github-script@v6"", ""actions/setup-python@v2"", ""actions/setup-python@v4""]","langroid/langroid ha 190 workflow (190 YAML-like), con 307 job totali e media 1.6158 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
BloopAI/bloop,BloopAI__bloop,138,138,1.0,279,2.0217,6,"[""issue_comment"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",6,"[""${{ matrix.name }}"", ""${{ matrix.os }}"", ""benchmark"", ""nixos"", ""self-hosted"", ""ubuntu-latest""]",True,True,True,False,True,30,"[""BloopAI/reusable-workflows/.github/workflows/validate-helm-chart.yml@main"", ""BloopAI/workflows/.github/workflows/build-container.yml@main"", ""actions-rs/toolchain@v1"", ""actions/cache@v2"", ""actions/cache@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/github-script@v6"", ""actions/setup-node@v3""]","BloopAI/bloop ha 138 workflow (138 YAML-like), con 279 job totali e media 2.0217 job/workflow. Trigger principali: issue_comment, pull_request, push, release. Runner principali: ${{ matrix.name }}, ${{ matrix.os }}, benchmark. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
paul-gauthier/aider,paul-gauthier__aider,122,121,0.9918,127,1.041,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",3,"[""${{ matrix.os }}"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,False,True,18,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/configure-pages@v3"", ""actions/deploy-pages@v2"", ""actions/deploy-pages@v4"", ""actions/setup-python@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v4"", ""actions/upload-pages-artifact@v1"", ""actions/upload-pages-artifact@v3""]","paul-gauthier/aider ha 122 workflow (121 YAML-like), con 127 job totali e media 1.041 job/workflow. Trigger principali: pull_request, push, schedule, workflow_dispatch. Runner principali: ${{ matrix.os }}, ubuntu-latest, windows-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
joaomdmoura/crewai,joaomdmoura__crewai,85,85,1.0,100,1.1765,6,"[""pull_request"", ""push"", ""release"", ""repository_dispatch"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-latest""]",True,True,True,False,False,22,"[""actions/cache/restore@v4"", ""actions/cache/save@v4"", ""actions/cache@v3"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v4"", ""actions/download-artifact@v4"", ""actions/setup-node@v4"", ""actions/setup-python@v4"", ""actions/setup-python@v5""]","joaomdmoura/crewai ha 85 workflow (85 YAML-like), con 100 job totali e media 1.1765 job/workflow. Trigger principali: pull_request, push, release, repository_dispatch. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
princeton-nlp/SWE-agent,princeton-nlp__SWE-agent,75,74,0.9867,74,0.9867,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,True,False,True,21,"[""actions/checkout@v2"", ""actions/checkout@v4"", ""actions/checkout@v5"", ""actions/checkout@v6"", ""actions/upload-artifact@v4"", ""actions/upload-artifact@v5"", ""actions/upload-artifact@v6"", ""actions/upload-artifact@v7"", ""codecov/codecov-action@v4.0.1"", ""codecov/codecov-action@v4.6.0""]","princeton-nlp/SWE-agent ha 75 workflow (74 YAML-like), con 74 job totali e media 0.9867 job/workflow. Trigger principali: pull_request, push, schedule, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
Canner/WrenAI,Canner__WrenAI,71,71,1.0,103,1.4507,4,"[""issue_comment"", ""pull_request"", ""push"", ""workflow_dispatch""]",4,"[""${{ matrix.arch.runner }}"", ""macos-latest"", ""ubuntu-22.04"", ""ubuntu-latest""]",True,True,False,False,True,27,"[""abatilo/actions-poetry@v2"", ""abatilo/actions-poetry@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/create-github-app-token@v1"", ""actions/download-artifact@v4"", ""actions/github-script@v6"", ""actions/setup-go@v4"", ""actions/setup-go@v5"", ""actions/setup-node@v2""]","Canner/WrenAI ha 71 workflow (71 YAML-like), con 103 job totali e media 1.4507 job/workflow. Trigger principali: issue_comment, pull_request, push, workflow_dispatch. Runner principali: ${{ matrix.arch.runner }}, macos-latest, ubuntu-22.04. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
emrgnt-cmplxty/automata,emrgnt-cmplxty__automata,71,71,1.0,71,1.0,3,"[""pull_request"", ""push"", ""schedule""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,True,False,True,8,"[""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@master"", ""actions/setup-python@v2"", ""actions/setup-python@v3"", ""actions/upload-artifact@v2"", ""codecov/codecov-action@v3"", ""docker/login-action@v1""]","emrgnt-cmplxty/automata ha 71 workflow (71 YAML-like), con 71 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, schedule. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
airtai/fastagency,airtai__fastagency,67,67,1.0,328,4.8955,7,"[""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",6,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ inputs.platform }}"", ""macos-latest"", ""ubuntu-22.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,18,"[""./.github/workflows/test-playwright.yaml"", ""./.github/workflows/test.yaml"", ""actions/checkout@v4"", ""actions/dependency-review-action@v4"", ""actions/download-artifact@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v4"", ""codecov/codecov-action@v4"", ""codecov/codecov-action@v5"", ""github/codeql-action/analyze@v3""]","airtai/fastagency ha 67 workflow (67 YAML-like), con 328 job totali e media 4.8955 job/workflow. Trigger principali: pull_request, push, release, schedule. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ${{ inputs.platform }}, macos-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
FOLLGAD/Godmode-GPT,FOLLGAD__Godmode-GPT,59,59,1.0,76,1.2881,7,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",1,"[""ubuntu-latest""]",True,True,True,False,True,17,"[""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/cache@v3"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@v2"", ""actions/setup-python@v3"", ""actions/setup-python@v4"", ""actions/upload-artifact@v3"", ""codecov/codecov-action@v3""]","FOLLGAD/Godmode-GPT ha 59 workflow (59 YAML-like), con 76 job totali e media 1.2881 job/workflow. Trigger principali: pull_request, pull_request_target, push, release. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
FlowiseAI/Flowise,FlowiseAI__Flowise,56,56,1.0,66,1.1786,4,"[""pull_request"", ""pull_request_target"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.platform }}"", ""ubuntu-latest""]",True,True,False,False,False,24,"[""actions/checkout@v4"", ""actions/checkout@v4.1.1"", ""actions/checkout@v6"", ""actions/checkout@v6.0.2"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/setup-node@v6"", ""aws-actions/amazon-ecr-login@v1"", ""aws-actions/amazon-ecr-login@v2"", ""aws-actions/configure-aws-credentials@8df5847569e6427dd6c4fb1cf565c83acfa8afa7""]","FlowiseAI/Flowise ha 56 workflow (56 YAML-like), con 66 job totali e media 1.1786 job/workflow. Trigger principali: pull_request, pull_request_target, push, workflow_dispatch. Runner principali: ${{ matrix.platform }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
pezzolabs/pezzo,pezzolabs__pezzo,40,40,1.0,64,1.6,5,"[""jobs"", ""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",2,"[""ubuntu-20.04"", ""ubuntu-22.04""]",True,True,False,False,True,10,"[""PostHog/check-package-version@v2"", ""actions/cache@v3"", ""actions/download-artifact@v2"", ""actions/upload-artifact@v2"", ""docker/build-push-action@v4"", ""docker/login-action@v2"", ""docker/metadata-action@v4"", ""docker/setup-buildx-action@v2"", ""docker/setup-qemu-action@v2"", ""octokit/request-action@v2.x""]","pezzolabs/pezzo ha 40 workflow (40 YAML-like), con 64 job totali e media 1.6 job/workflow. Trigger principali: jobs, pull_request, push, release. Runner principali: ubuntu-20.04, ubuntu-22.04. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
satellitecomponent/Neurite,satellitecomponent__Neurite,36,36,1.0,92,2.5556,2,"[""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,False,11,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/download-artifact@v3.0.2"", ""actions/download-artifact@v4"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v3.1.3"", ""actions/upload-artifact@v4""]","satellitecomponent/Neurite ha 36 workflow (36 YAML-like), con 92 job totali e media 2.5556 job/workflow. Trigger principali: push, workflow_dispatch. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
Kav-K/GPTDiscord,Kav-K__GPTDiscord,35,35,1.0,66,1.8857,4,"[""pull_request"", ""push"", ""release"", ""schedule""]",3,"[""${{ matrix.os }}"", ""ubuntu-20.04"", ""ubuntu-latest""]",True,False,True,False,False,26,"[""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/setup-python@v4"", ""appleboy/scp-action@master"", ""cytopia/docker-black@0.10"", ""docker/build-push-action@ac9327eae2b366085ac7f6a2d02df8aa8ead720a"", ""docker/build-push-action@v3"", ""docker/build-push-action@v4"", ""docker/build-push-action@v5"", ""docker/login-action@28218f9b04b4f3f62068d7b6ce6ca5b26e35336c""]","Kav-K/GPTDiscord ha 35 workflow (35 YAML-like), con 66 job totali e media 1.8857 job/workflow. Trigger principali: pull_request, push, release, schedule. Runner principali: ${{ matrix.os }}, ubuntu-20.04, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
homanp/superagent,homanp__superagent,35,35,1.0,127,3.6286,7,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,True,16,"[""actions-rs/toolchain@v1"", ""actions/cache@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/download-artifact@v4"", ""actions/setup-node@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""anthropics/claude-code-action@v1""]","homanp/superagent ha 35 workflow (35 YAML-like), con 127 job totali e media 3.6286 job/workflow. Trigger principali: issue_comment, issues, pull_request, pull_request_review. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
irgolic/AutoPR,irgolic__AutoPR,35,35,1.0,41,1.1714,5,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,13,"[""./"", ""actions/cache@v2"", ""actions/checkout@v2"", ""actions/setup-python@v4"", ""docker/build-push-action@v4"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""docker://ghcr.io/irgolic/autopr:latest"", ""docker://irgolic/autopr:latest"", ""irgolic/AutoPR@main""]","irgolic/AutoPR ha 35 workflow (35 YAML-like), con 41 job totali e media 1.1714 job/workflow. Trigger principali: issue_comment, issues, pull_request, pull_request_target. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
polywrap/evo.ninja,polywrap__evo.ninja,33,33,1.0,33,1.0,3,"[""issue_comment"", ""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,9,"[""JamesIves/github-pages-deploy-action@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/github-script@0.8.0"", ""actions/github-script@v6"", ""actions/setup-node@master"", ""actions/setup-node@v1"", ""actions/setup-python@v4"", ""actions/upload-artifact@v2""]","polywrap/evo.ninja ha 33 workflow (33 YAML-like), con 33 job totali e media 1.0 job/workflow. Trigger principali: issue_comment, pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
AntonOsika/gpt-engineer,AntonOsika__gpt-engineer,28,28,1.0,32,1.1429,6,"[""issues"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-20.04"", ""ubuntu-latest""]",True,True,True,False,False,11,"[""actions/cache@v3"", ""actions/checkout@v3"", ""actions/download-artifact@v3"", ""actions/setup-python@v4"", ""actions/stale@v4"", ""actions/upload-artifact@v3"", ""codespell-project/actions-codespell@v2"", ""github/codeql-action/analyze@v2"", ""github/codeql-action/autobuild@v2"", ""github/codeql-action/init@v2""]","AntonOsika/gpt-engineer ha 28 workflow (28 YAML-like), con 32 job totali e media 1.1429 job/workflow. Trigger principali: issues, pull_request, push, release. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ubuntu-20.04, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
