file_hash,job_name,job,SUGGESTED_WORKFLOW_TYPE,workflow_type,repository,LLM_LABEL,LLM_REASON,REFINED_LLM_LABEL,REFINEMENT_ITERATIONS,REFINEMENT_HISTORY
6623e1e8223cc9cfc8aae480bf07788b1f5a0d763d9b847b0dc2be2471c8f1f6,build_and_push,"{secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ github.sha }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: 'build-${{ github.sha }}'}}
",['deploy'],build,BloopAI__bloop,[build],"Builds Docker container image with specified tag and build arguments (Sentry token, release version).",build,1.0,"[('[build]', '[STOP]\n\nThe classification is correct. This is a reusable workflow call that builds a Docker container image (indicated by `build-container.yml`), which falls squarely under the **build** category. The presence of build arguments (SENTRY_AUTH_TOKEN, SENTRY_RELEASE_VERSION), Docker image tagging, and the explicit workflow name all confirm this is a build operation.')]"
6623e1e8223cc9cfc8aae480bf07788b1f5a0d763d9b847b0dc2be2471c8f1f6,validate_helm,"{secrets: {slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/reusable-workflows/.github/workflows/validate-helm-chart.yml@main,
  with: {path: helm/bloop}}
",['deploy'],lint_security,BloopAI__bloop,[lint_security],Validates Helm chart configuration for policy/syntax compliance.,lint_security,1.0,"[('[lint_security]', 'ISSUE: The classification is incomplete. This job calls a reusable workflow for Helm chart validation, which typically involves both linting (lint_security) and structural/syntax verification (build).\n\nSUGGESTION: The classification should be [lint_security, build]. Helm chart validation encompasses:\n- Linting checks (lint_security) - style, best practices\n- Chart syntax/structure validation (build) - ensuring the chart is well-formed and can be built/packaged\n\nHowever, if the reusable workflow performs only linting without any build/package operations, [lint_security] alone would be correct. Without visibility into the reusable workflow definition, [lint_security] is a reasonable conservative classification, but [lint_security, build] is more likely accurate for typical Helm validation workflows.\n\nIf you can confirm the reusable workflow only performs linting: [STOP]')]"
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,test,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,fmt-clippy-build,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,build-client,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
91131528408fc1aa2a66d45eb02526d1889f678ce863d5589b42e1181f5fb8b4,build_and_push,"{secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ github.event.release.tag_name }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: '${{ github.event.release.tag_name
      }}'}}
",['unknown'],build|deploy_release,BloopAI__bloop,[build|deploy_release],Builds Docker container with Sentry release metadata and pushes to registry on release tag.,build | deploy_release,2.0,"[('[build|deploy_release]', ""ISSUE: The classification includes `deploy_release` but the YAML shows no evidence of image pushing, signing, or GitHub Release operations. The job only builds a container image (via `build-container.yml` workflow) with a release tag.\n\nSUGGESTION: Classification should be `[build]` only. The presence of a release tag in the `tag` parameter does not constitute deployment—it's merely using the release version as a build identifier. Actual deployment would require explicit `push: true`, registry push commands, or cosign signing operations, which are absent here.""), ('[build]\nReason: Container image build only; no push, signing, or release operations present.', ""ISSUE: The classification misses a critical operation. The job is triggered on a release event (`github.event.release.tag_name`) and uses a reusable workflow from BloopAI/workflows that is specifically named `build-container.yml`. While the YAML snippet shown doesn't explicitly contain `push: true` or `cosign` commands, the context strongly suggests this is part of a release pipeline where the built container is intended to be pushed and released.\n\nSUGGESTION: The classification should be [build, deploy_release]. The presence of `github.event.release.tag_name` as the tag parameter indicates this job is tied to a GitHub Release event, which typically involves pushing the built image to a registry as part of the release process. Even though the push operation may be abstracted into the reusable workflow, the functional intent is both building and releasing the container image."")]"
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,debug,"{runs-on: ubuntu-latest, steps: [{env: {GITHUB_CONTEXT: '${{ toJson(github) }}'},
      name: $github, run: echo ""$GITHUB_CONTEXT""}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],"Echoes GitHub context to logs with no functional impact on build, test, or deployment.",no_ops,1.0,"[('[no_ops]', '[STOP]')]"
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,permissions,"{if: 'github.event.issue.pull_request && contains(github.event.comment.body, ''/build'')',
  name: Validate user is the member of BloopAI organization, outputs: {is-member: '${{
      steps.membership.outputs.is-member }}'}, runs-on: ubuntu-latest, steps: [{env: {
        ACTOR: '${{ github.triggering_actor }}'}, id: membership, name: Validation,
      run: ""members=$(curl -L \\\n  -H \""Accept: application/vnd.github+json\"" \\\n\
        \  -H \""Authorization: Bearer ${{ secrets.BLOOP_DEVOPS_PAT}}\""\\\n  -H \""\
        X-GitHub-Api-Version: 2022-11-28\"" \\\n  https://api.github.com/orgs/BloopAI/members\
        \ | jq -r \"".[] .login\"")\nfor member in $(echo ${members}); do \n  if [[\
        \ $member = $ACTOR ]]; then \n    echo \""is-member=true\"" >> $GITHUB_OUTPUT\n\
        \  fi\ndone\n""}]}
",['unknown'],lint_security,BloopAI__bloop,[no_ops],"Job only validates organization membership; performs no build, test, deploy, or security operations.",lint_security,2.0,"[('[no_ops]', 'ISSUE: The classification as `no_ops` is incorrect. This job performs a functional operation that has downstream impact: it validates organization membership and produces an output (`is-member`) that is explicitly designed to be consumed by other jobs in the workflow.\n\nSUGGESTION: The correct classification should be `lint_security`. This job performs a policy/access control check by verifying that the user triggering the `/build` comment is a member of the BloopAI organization. This is a security validation step that gates subsequent operations, which aligns with the `lint_security` category\'s inclusion of ""path/policy checks.""'), ('[lint_security]\nReason: Validates organization membership as a policy/access control check gating downstream operations.', ""[STOP]\n\nThe classification is correct. This job performs an organization membership validation check using GitHub's API, which is a policy/access control verification. This fits the `lint_security` category as it enforces access control policies before allowing operations (gated by the `/build` comment trigger). The job does not build, test, deploy, or evaluate—it purely validates permissions."")]"
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,build_tag,"{if: 'github.event.issue.pull_request && contains(github.event.comment.body, ''/build'')
    && needs.permissions.outputs.is-member == ''true''', name: Run container build
    on comment, needs: [permissions], outputs: {ref: '${{ steps.comment-branch.outputs.head_ref
      }}', tag: 'build-${{ steps.comment-branch.outputs.head_sha }}'}, runs-on: ubuntu-latest,
  steps: [{id: comment-branch, name: Get PR branch, uses: xt0rted/pull-request-comment-branch@v1},
    {name: Checkout PR branch, uses: actions/checkout@v4, with: {ref: '${{ steps.comment-branch.outputs.head_ref
          }}'}}]}
",['unknown'],build,BloopAI__bloop,[build],Builds container image on PR comment trigger; outputs ref and tag for downstream build processes.,build,2.0,"[('[build]', 'ISSUE: The classification is a FALSE POSITIVE. This job does not perform any build operations. It only checks out code in response to a comment trigger (`/build` command). There is no compilation, dependency updates, Docker image building, or any functional build work.\n\nSUGGESTION: The correct classification should be [no_ops]. This job has no functional impact—it merely prepares the workspace by checking out a PR branch based on a comment. The actual build work would occur in a downstream job (not shown here).'), ('[no_ops]\nReason: Job only checks out code in response to comment trigger; performs no compilation, dependency updates, or Docker image building.', 'ISSUE: The classification misses the functional purpose of this job. While it\'s true that this specific job only performs checkout operations, it\'s explicitly designed as a trigger/orchestration step for a container build workflow (as evidenced by the job name ""Run container build on comment"" and the output tag ""build-${{ steps.comment-branch.outputs.head_sha }}""). The job outputs are consumed by downstream jobs that will perform the actual build.\n\nSUGGESTION: The classification should be [build] or include build in the categories. The job is part of a build pipeline triggered by PR comments with ""/build"" command. Although this particular job doesn\'t compile code itself, it\'s a prerequisite step that enables container building in downstream jobs. Alternatively, if strictly evaluating only this isolated job\'s operations, [no_ops] could be defensible, but the context suggests it\'s a build orchestration step rather than a no-op job.')]"
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,build_and_push,"{if: needs.permissions.outputs.is-member == 'true', needs: [permissions, build_tag],
  secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ needs.build_tag.outputs.tag }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: '${{ needs.build_tag.outputs.tag
      }}'}}
",['unknown'],build,BloopAI__bloop,[build],"Builds Docker container image with specified tag and build arguments (Sentry token, release version).",build,1.0,"[('[build]', '[STOP]')]"
