file_hash,job_name,job,SUGGESTED_WORKFLOW_TYPE,workflow_type,repository,LLM_LABEL,LLM_REASON
6623e1e8223cc9cfc8aae480bf07788b1f5a0d763d9b847b0dc2be2471c8f1f6,build_and_push,"{secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ github.sha }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: 'build-${{ github.sha }}'}}
",['deploy'],build,BloopAI__bloop,[build],"Builds Docker container image with specified tag and build arguments (Sentry token, release version)."
6623e1e8223cc9cfc8aae480bf07788b1f5a0d763d9b847b0dc2be2471c8f1f6,validate_helm,"{secrets: {slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/reusable-workflows/.github/workflows/validate-helm-chart.yml@main,
  with: {path: helm/bloop}}
",['deploy'],lint_security,BloopAI__bloop,[lint_security],Validates Helm chart configuration for policy/syntax compliance.
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,test,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,fmt-clippy-build,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.
7399a7d3650ef583781223255f318b66a1be874937cef52a2f247aa3e7daef2e,build-client,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['unknown'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.
91131528408fc1aa2a66d45eb02526d1889f678ce863d5589b42e1181f5fb8b4,build_and_push,"{secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ github.event.release.tag_name }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: '${{ github.event.release.tag_name
      }}'}}
",['unknown'],"



deploy_release",BloopAI__bloop,[build|deploy_release],Builds Docker container with Sentry release metadata and pushes to registry on release tag.
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,debug,"{runs-on: ubuntu-latest, steps: [{env: {GITHUB_CONTEXT: '${{ toJson(github) }}'},
      name: $github, run: echo ""$GITHUB_CONTEXT""}]}
",['unknown'],lint_security,BloopAI__bloop,[no_ops],"Echoes GitHub context to logs with no functional impact on build, test, or deployment."
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,permissions,"{if: 'github.event.issue.pull_request && contains(github.event.comment.body, ''/build'')',
  name: Validate user is the member of BloopAI organization, outputs: {is-member: '${{
      steps.membership.outputs.is-member }}'}, runs-on: ubuntu-latest, steps: [{env: {
        ACTOR: '${{ github.triggering_actor }}'}, id: membership, name: Validation,
      run: ""members=$(curl -L \\\n  -H \""Accept: application/vnd.github+json\"" \\\n\
        \  -H \""Authorization: Bearer ${{ secrets.BLOOP_DEVOPS_PAT}}\""\\\n  -H \""\
        X-GitHub-Api-Version: 2022-11-28\"" \\\n  https://api.github.com/orgs/BloopAI/members\
        \ | jq -r \"".[] .login\"")\nfor member in $(echo ${members}); do \n  if [[\
        \ $member = $ACTOR ]]; then \n    echo \""is-member=true\"" >> $GITHUB_OUTPUT\n\
        \  fi\ndone\n""}]}
",['unknown'],lint_security,BloopAI__bloop,[no_ops],"Job only validates organization membership; performs no build, test, deploy, or security operations."
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,build_tag,"{if: 'github.event.issue.pull_request && contains(github.event.comment.body, ''/build'')
    && needs.permissions.outputs.is-member == ''true''', name: Run container build
    on comment, needs: [permissions], outputs: {ref: '${{ steps.comment-branch.outputs.head_ref
      }}', tag: 'build-${{ steps.comment-branch.outputs.head_sha }}'}, runs-on: ubuntu-latest,
  steps: [{id: comment-branch, name: Get PR branch, uses: xt0rted/pull-request-comment-branch@v1},
    {name: Checkout PR branch, uses: actions/checkout@v4, with: {ref: '${{ steps.comment-branch.outputs.head_ref
          }}'}}]}
",['unknown'],build,BloopAI__bloop,[build],Builds container image on PR comment trigger; outputs ref and tag for downstream build processes.
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,build_and_push,"{if: needs.permissions.outputs.is-member == 'true', needs: [permissions, build_tag],
  secrets: {awsAccountID: '${{ secrets.AWS_ACCOUNT_ID }}', awsRegion: '${{ secrets.AWS_REGION
      }}', build-args: 'SENTRY_AUTH_TOKEN=${{ secrets.SENTRY_AUTH_TOKEN }}

      SENTRY_RELEASE_VERSION=${{ needs.build_tag.outputs.tag }}

      ', slackBuildWebhook: '${{ secrets.SLACK_BUILD_WEBHOOK }}'}, uses: BloopAI/workflows/.github/workflows/build-container.yml@main,
  with: {repository: bloop, runner: ubuntu-latest, tag: '${{ needs.build_tag.outputs.tag
      }}'}}
",['unknown'],build,BloopAI__bloop,[build],"Builds Docker container image with specified tag and build arguments (Sentry token, release version)."
cf4ca34801c11d7cecfbe94fcde8774de1f6e533575cfcfe9daa467c4277b694,report_status,"{if: always() && needs.permissions.outputs.is-member == 'true', name: Report status
    of the build, needs: [permissions, build_tag, build_and_push], runs-on: ubuntu-latest,
  steps: [{id: pr, name: pr, run: 'PR_NUMBER=$(echo $GITHUB_REF | awk ''BEGIN { FS
        = ""/"" } ; { print $3 }'')

        echo ""number=${PR_NUMBER}"" >> ${GITHUB_OUTPUT}

        '}, {if: '${{ contains(needs.*.result, ''failure'') }}', name: Comment failure
        build, uses: thollander/actions-comment-pull-request@v2, with: {message: ':red_circle:
          Bloop container with `${{ needs.build_tag.outputs.tag }}` tag failed!

          :link: ${{ github.server_url }}/${{ github.repository }}/actions/runs/${{
          github.run_id }}

          ', pr_number: '${{ steps.pr.outputs.number }}'}}, {if: '${{ !contains(needs.*.result,
        ''failure'') }}', name: Comment success build, uses: thollander/actions-comment-pull-request@v2,
      with: {message: ':green_circle: Bloop container with `${{ needs.build_tag.outputs.tag
          }}` tag is ready!

          :link: ${{ github.server_url }}/${{ github.repository }}/actions/runs/${{
          github.run_id }}

          ', pr_number: '${{ steps.pr.outputs.number }}'}}]}
",['unknown'],deploy_release,BloopAI__bloop,[no_ops],"Job only reports build status via PR comments; no functional deployment, testing, or build operations."
e3663d18d528eba177f40a7d1ca8fff42987865a548155777b22726adeabc17a,clippy-test,"{runs-on: ubuntu-latest, steps: [{name: Checkout code, uses: actions/checkout@v4,
      with: {lfs: true, token: '${{ secrets.GITHUB_TOKEN }}'}}, {name: Install Rust
        stable, uses: dtolnay/rust-toolchain@stable, with: {components: 'rustfmt,
          clippy', toolchain: 1.73.0}}, {continue-on-error: false, name: Set up cargo
        cache, uses: actions/cache@v3, with: {key: '${{ runner.os }}-cargo-${{ hashFiles(''**/Cargo.lock'')
          }}', path: ""~/.cargo/bin/\n~/.cargo/registry/index/\n~/.cargo/registry/cache/\n\
          ~/.cargo/git/db/\ntarget/            \n"", restore-keys: '${{ runner.os }}-cargo-'}},
    {name: Rustfmt, run: cargo --locked fmt -p bleep -- --check}, {name: Clippy, run: cargo
        --locked clippy -p bleep}, {name: Tests, run: cargo --locked test -p bleep
        --release}]}
",['unknown'],test,BloopAI__bloop,[lint_security|test],"Runs rustfmt (linting), clippy (security/linting), and cargo test suite (testing)."
05d673f3f0818989c8f8e33d4736d3e4193080f6aeef873baaa8503026c34229,golangci,"{name: lint, runs-on: ubuntu-latest, steps: [{uses: actions/checkout@v4}, {uses: actions/setup-go@v5,
      with: {cache-dependency-path: wren-launcher/go.sum, go-version: '1.24'}}, {
      name: golangci-lint, uses: golangci/golangci-lint-action@v8, with: {version: v2.3.1,
        working-directory: wren-launcher}}]}
","['lint', 'test']",lint_security,Canner__WrenAI,[lint_security],Runs golangci-lint for Go code linting and static analysis.
05d673f3f0818989c8f8e33d4736d3e4193080f6aeef873baaa8503026c34229,fmt-and-test,"{runs-on: ubuntu-latest, steps: [{name: Checkout repository, uses: actions/checkout@v4},
    {name: Setup Go, uses: actions/setup-go@v5, with: {cache-dependency-path: wren-launcher/go.sum,
        go-version: '1.24'}}, {name: Install goimports, run: go install golang.org/x/tools/cmd/goimports@latest},
    {name: Download dependencies, run: go mod download}, {name: Run format check,
      run: ""make fmt\n# Check if there are any formatting changes\nif [ -n \""$(git\
        \ diff --name-only)\"" ]; then\n  echo \""Code is not formatted properly. Please\
        \ run 'make fmt' and commit the changes.\""\n  git diff\n  exit 1\nfi\n""},
    {name: Run go vet, run: make vet}, {name: Run tests, run: go test ./commands/dbt}]}
","['lint', 'test']",test,Canner__WrenAI,[lint_security|test],"Runs code formatting checks (goimports, fmt), linting (go vet), and executes test suite (go test)."
05d673f3f0818989c8f8e33d4736d3e4193080f6aeef873baaa8503026c34229,security-scan,"{needs: fmt-and-test, runs-on: ubuntu-latest, steps: [{name: Checkout repository,
      uses: actions/checkout@v4}, {name: Setup Go, uses: actions/setup-go@v5, with: {
        cache-dependency-path: wren-launcher/go.sum, go-version: '1.24'}}, {name: Run
        Gosec Security Scanner, run: 'go install github.com/securego/gosec/v2/cmd/gosec@latest

        gosec ./...

        '}, {name: Run Go mod audit, run: 'go mod verify

        go list -json -deps ./... | jq -r ''.Module | select(.Version) | ""\(.Path)
        \(.Version)""'' | sort -u

        '}]}
","['lint', 'test']",lint_security,Canner__WrenAI,[lint_security],Runs Gosec security scanner and Go module audit for vulnerability detection.
2102adf6be5466373c55a5fd94fa677424cdf2b209900c038d776266a15749a3,build-image,"{outputs: {tag_name: '${{ steps.tag-preparation.outputs.TAG_NAME }}'}, runs-on: '${{
    matrix.arch.runner }}', steps: [{uses: actions/checkout@v4}, {name: Login to GitHub
        Container Registry, uses: docker/login-action@v3, with: {password: '${{ secrets.GITHUB_TOKEN
          }}', registry: ghcr.io, username: '${{ github.actor }}'}}, {id: tag-preparation,
      name: Prepare tag name, run: 'tag_name=main-$(git log -1 --pretty=%h)

        echo ""TAG_NAME=$tag_name"" >> $GITHUB_OUTPUT

        '}, {name: Set up Docker Buildx, uses: docker/setup-buildx-action@v3}, {name: Prepare
        platform, run: 'platform=${{ matrix.arch.platform }}

        echo ""PLATFORM_PAIR=${platform//\//-}"" >> $GITHUB_ENV

        '}, {id: build, name: Build and push by digest, uses: docker/build-push-action@v6,
      with: {context: ./wren-ai-service, file: ./wren-ai-service/docker/Dockerfile,
        labels: '${{ env.WREN_AI_SERVICE_IMAGE }}', outputs: 'type=image,name=${{
          env.WREN_AI_SERVICE_IMAGE }},push-by-digest=true,name-canonical=true,push=true',
        platforms: '${{ matrix.arch.platform }}'}}, {name: Export digest, run: 'mkdir
        -p /tmp/digests

        digest=""${{ steps.build.outputs.digest }}""

        touch ""/tmp/digests/${digest#sha256:}""

        '}, {name: Upload digest, uses: actions/upload-artifact@v4, with: {if-no-files-found: error,
        name: 'digests-${{ env.PLATFORM_PAIR }}', path: /tmp/digests/*, retention-days: 1}}],
  strategy: {fail-fast: false, matrix: {arch: [{platform: linux/amd64, runner: ubuntu-latest},
        {platform: linux/arm64, runner: linux_arm64_runner}]}}}
",['build'],build,Canner__WrenAI,[build|deploy_release],Builds Docker images with docker/build-push-action (build) and pushes to registry with push=true (deploy_release).
2102adf6be5466373c55a5fd94fa677424cdf2b209900c038d776266a15749a3,merge,"{needs: [build-image], runs-on: ubuntu-latest, steps: [{name: Download digests, uses: actions/download-artifact@v4,
      with: {merge-multiple: true, path: /tmp/digests, pattern: digests-*}}, {name: Set
        up Docker Buildx, uses: docker/setup-buildx-action@v3}, {id: meta, name: Docker
        meta, uses: docker/metadata-action@v5, with: {images: '${{ env.WREN_AI_SERVICE_IMAGE
          }}', tags: 'type=raw,${{ needs.build-image.outputs.tag_name }}

          type=raw,nightly

          '}}, {name: Login to GitHub Container Registry, uses: docker/login-action@v3,
      with: {password: '${{ secrets.GITHUB_TOKEN }}', registry: ghcr.io, username: '${{
          github.actor }}'}}, {name: Create manifest list and push, run: ""TAGS=$(echo\
        \ \""${{ steps.meta.outputs.tags }}\"" | awk '{printf \""--tag %s \"", $0}')\n\
        docker buildx imagetools create $(jq -cr '.tags | map(\""-t \"" + .) | join(\""\
        \ \"")' <<< \""$DOCKER_METADATA_OUTPUT_JSON\"") \\\n  $(printf '${{ env.WREN_AI_SERVICE_IMAGE\
        \ }}@sha256:%s ' *) \\\n  $TAGS\n"", working-directory: /tmp/digests}]}
",['build'],deploy_release,Canner__WrenAI,[deploy_release],Logs into container registry and pushes Docker image manifest with tags to GHCR.
